Date,Close,Open,Prediction,trade_signal,PnL_no_fees,cum_PnL_no_fees
2024-02-23,501.4181823730469,502.8201814697373,0.0,0,,
2024-02-26,499.58172607421875,501.86246796599994,1.8366589820508e-05,1,-0.44428559295306513,-0.44428559295306513
2024-02-27,500.509765625,500.2826978401471,5.2898312537526e-05,1,-0.7009717659283297,-1.1452573588813948
2024-02-28,499.84832763671875,498.93008300175484,-1.4748214593139998e-06,-1,-1.5796826232451622,-2.724939982126557
2024-02-29,501.645263671875,501.6354108088416,-1.4875564727906e-05,-1,1.7870831721228342,-0.9378568100037228
2024-03-01,506.3548278808594,502.5338756491636,-1.7681976929632e-05,-1,0.8886119772885763,-0.04924483271514646
2024-03-04,505.8117980957031,505.545258576722,8.649836128661001e-06,1,0.8095693041373693,0.7603244714222228
2024-03-05,500.7566223144531,503.77786539158575,-2.8217397676382002e-05,-1,-2.033932704117376,-1.2736082326951532
2024-03-06,503.2940673828125,504.0839234106298,6.820568289396165e-08,1,-3.3273010961766545,-4.600909328871808
2024-03-07,508.2900085449219,506.64117571009217,-2.4969891794447e-05,-1,3.3471083272796704,-1.2538010015921373
2024-03-08,505.2391357421875,508.9317896307731,6.539500998380783e-07,1,-0.6417810858512212,-1.8955820874433584
2024-03-11,504.8047180175781,504.0148619441716,-1.6794072152374e-05,-1,-1.2242737980158722,-3.1198558854592306
2024-03-12,510.235107421875,506.94726437216417,-6.171362240121e-06,-1,2.1425463545860453,-0.9773095308731854
2024-03-13,509.435302734375,510.56087929992003,5.334773930266e-06,1,-0.3257718780450318,-1.3030814089182172
2024-03-14,508.42822265625,510.4225985833554,6.540206188742009e-07,1,-0.9872958489804091,-2.2903772578986263
2024-03-15,504.9371032714844,505.3134612139554,1.2873043217165e-05,1,3.1147614422945935,0.8243841843959672
2024-03-18,507.93798828125,509.06706203174264,8.12908681507e-06,1,-4.129958760258262,-3.3055745758622948
2024-03-19,510.76068115234375,507.23484938554435,3.3766337999723e-05,1,0.7031388957056492,-2.6024356801566455
2024-03-20,515.48486328125,510.8201044796903,5.553297900050001e-06,1,-0.05942332734656475,-2.6618590075032103
2024-03-21,517.1883544921875,518.3669362427153,-2.9020609908662e-05,-1,2.882072961465269,0.2202139539620589
2024-03-22,516.2078247070312,517.0991508875658,5.3883497234694e-05,1,0.08920360462172994,0.30941755858378883
2024-03-25,514.7816772460938,514.8113578960968,-3.0523132039598e-05,-1,-1.3964668109344984,-1.0870492523507096
2024-03-26,513.8308715820312,516.2276294197574,-2.9349614044985e-05,-1,1.4459521736636134,0.3589029213129038
2024-03-27,518.1490478515625,516.7030983621477,-1.428732666968e-05,-1,2.8722267801164207,3.2311297014293245
2024-03-28,518.050048828125,518.1887197410889,-1.0951972645001e-05,-1,0.03967188952640299,3.2708015909557275
2024-04-01,517.148681640625,518.8026977832243,-1.5957899160332e-05,-1,0.7526489550992892,4.023450546055017
2024-04-02,513.8606567382812,513.2663787407818,8.771283565048e-06,1,3.882302899843239,7.905753445898256
2024-04-03,514.4251098632812,512.7513266543715,-2.3208841397049e-05,-1,-1.1093300839097537,6.796423361988502
2024-04-04,508.14599609375,518.4957179374168,-7.6276152323180005e-06,-1,4.070608074135521,10.867031436124023
2024-04-05,513.4545288085938,509.5226586128974,5.5050171678678e-05,1,-1.3766625191473736,9.49036891697665
2024-04-08,513.74169921875,514.1676256081136,-3.0816103722557e-05,-1,0.7130967995198034,10.203465716496453
2024-04-09,514.3359985351562,515.5046666061,-2.8851608564863e-05,-1,1.762967387350045,11.966433103846498
2024-04-10,509.1858825683594,508.5520102686698,-5.4370916675039995e-05,-1,-5.78398826648646,6.182444837360038
2024-04-11,513.0286865234375,510.73094461172184,-4.397766875398e-05,-1,1.5450620433624636,7.727506880722501
2024-04-12,505.9472961425781,509.4335032535515,3.3361259546164e-05,1,3.595183269885979,11.32269015060848
2024-04-15,499.6087341308594,510.18622940720803,-0.000111709256792417,-1,4.238933264629907,15.561623415238387
2024-04-16,498.6975402832031,500.0940119130741,-6.177335103947e-05,-1,0.4852777822147232,16.04690119745311
2024-04-17,495.7461242675781,501.19333983039104,-2.5862938431033003e-05,-1,2.4957995471879144,18.542700744641024
2024-04-18,494.7260437011719,497.16245658697704,-4.2401979637394e-05,-1,1.4163323193989186,19.959033064039943
2024-04-19,490.40789794921875,494.64682110346547,1.787990437395e-06,1,0.07922259770640494,20.038255661746348
2024-04-22,494.92413330078125,493.05225733120085,-3.8221574375247e-05,-1,2.644359381982099,22.682615043728447
2024-04-23,500.7972106933594,496.96435638014214,1.7577855323390001e-06,1,-2.040223079360885,20.64239196436756
2024-04-24,500.55950927734375,501.69846651270745,-5.4084054441878e-05,-1,0.90125581934808,21.54364778371564
2024-04-25,498.6579284667969,494.3892945397056,3.3064960386311e-05,1,6.170214737638162,27.713862521353803
2024-04-26,503.3821716308594,501.49049852500383,-9.464287311352799e-05,-1,2.8325700582069544,30.546432579560758
2024-04-29,505.1648864746094,505.1945973517815,-4.7269672752527004e-05,-1,1.8124257209221355,32.35885830048289
2024-04-30,497.16241455078125,503.6792517562141,-3.4960474062114e-05,-1,-1.4856347183952607,30.873223582087633
2024-05-01,495.5480651855469,496.5681788979437,8.910977469381e-06,1,0.5942356528375399,31.467459234925172
2024-05-02,500.1831359863281,499.3115766670157,-1.1567726649864001e-05,-1,3.763511481468811,35.23097071639398
2024-05-03,506.3830871582031,506.25432995034845,5.1772400095977994e-05,1,-6.071193964020324,29.15977675237366
2024-05-06,511.6123962402344,508.8194530106577,-3.0333128201793002e-05,-1,2.4363658524545713,31.59614260482823
2024-05-07,512.1769409179688,512.592893186346,4.7372535010059e-05,1,-0.980496946111657,30.615645658716574
2024-05-08,512.2263793945312,510.3149094204275,-1.3928248999199e-05,-1,-1.8620314975412384,28.753614161175335
2024-05-09,515.1777954101562,512.4145934250506,2.7551682739832e-05,1,-0.18821403051936159,28.565400130655973
2024-05-10,515.8414916992188,516.8021535312699,-1.9228748556182998e-05,-1,1.624358121113687,30.18975825176966
2024-05-13,515.9107055664062,517.544894396622,-2.1054921636037997e-05,-1,1.7034026974032486,31.89316094917291
2024-05-14,518.2777709960938,516.1087864551328,6.3143197252224e-05,1,-0.19808088872650842,31.6950800604464
2024-05-15,524.6956176757812,520.7835145760366,4.5861806127310995e-05,1,-2.505743579942873,29.189336480503528
2024-05-16,523.6160888671875,524.7946706849524,-2.0938595075107e-05,-1,0.09905300917114346,29.28838948967467
2024-05-17,524.3687744140625,523.7349021143731,-1.7841997781078e-05,-1,0.11881324718558517,29.407202736860256
2024-05-20,524.9729614257812,524.4876736742167,-2.386214953744e-06,-1,0.11889926015419405,29.52610199701445
2024-05-21,526.2604370117188,524.2004426341203,-3.1829640478412e-05,-1,-0.7725187916609002,28.75358320535355
2024-05-22,524.7451782226562,525.5573158434247,3.5596190726017e-05,1,0.7031211682940466,29.456704373647597
2024-05-23,520.9122924804688,527.8451122672031,5.474184714176e-06,1,-3.099934044546899,26.356770329100698
2024-05-24,524.35888671875,522.7841195913288,-1.5787354944847002e-05,-1,1.8718271108600675,28.228597439960765
2024-05-28,524.725341796875,525.1809488785617,-6.665438608649e-06,-1,0.8220621598117077,29.050659599772473
2024-05-29,521.0509643554688,520.6350120450624,-2.4845007421565e-05,-1,-4.0903297518126465,24.960329847959827
2024-05-30,517.5944213867188,519.4861246908551,-6.428045556272e-05,-1,-1.5648396646136007,23.395490183346226
2024-05-31,522.3087768554688,518.5650852962019,4.0495804377057005e-05,1,-0.9706639094831644,22.42482627386306
2024-06-03,522.7345581054688,523.9428808912496,-1.5648666161067e-05,-1,1.6341040357808652,24.058930309643927
2024-06-04,523.3189697265625,521.4074995044357,8.202674262128401e-05,1,1.327058601033059,25.385988910676986
2024-06-05,529.5386962890625,525.676161287564,-9.967562642419171e-07,-1,2.357191561001514,27.7431804716785
2024-06-06,529.5287475585938,529.8456837163661,-1.8871855488278e-05,-1,0.3069874273036248,28.050167898982124
2024-06-07,528.885009765625,528.5383325154238,-8.517541356468e-06,-1,-0.9904150431699463,27.059752855812178
2024-06-10,530.5191650390625,528.0629853102115,1.9136132770368e-05,1,0.8220244554134979,27.881777311225676
2024-06-11,531.7968139648438,528.9444489661214,3.7963745957764e-05,1,1.5747160729411007,29.456493384166777
2024-06-12,536.1644287109375,536.4318568024678,2.9358661933906002e-05,1,-4.635042837624042,24.821450546542735
2024-06-13,537.2440185546875,537.9373126143792,3.3238905538189e-05,1,-1.7728839034416524,23.048566643101083
2024-06-14,537.5709228515625,535.6891331345915,-3.0646339115248e-05,-1,-1.5548854200959568,21.493681223005126
2024-06-17,541.849365234375,536.8775841230741,-3.4433158208568e-05,-1,-0.6933387284883565,20.80034249451677
2024-06-18,543.22607421875,541.90882144254,4.1274718744359004e-05,1,-0.05945620816498831,20.74088628635178
2024-06-20,541.7503662109375,544.1669516153021,-8.062612480309e-06,-1,0.9408773965520822,21.681763682903863
2024-06-21,541.0240478515625,540.9147666280046,-1.6617771695096002e-05,-1,-0.8355995829329004,20.846164099970963
2024-06-24,539.265380859375,540.845228398195,-1.8097951112377e-05,-1,-0.1788194533675096,20.667344646603453
2024-06-25,541.3419799804688,540.5073310314164,6.1752385868377e-05,1,-1.2419501720413564,19.425394474562097
2024-06-26,542.0176391601562,540.209283574617,1.7413362852650002e-06,1,1.1326964058517888,20.558090880413886
2024-06-27,542.8721313476562,541.8785333532583,1.0312026186103001e-05,1,0.13910580689798735,20.697196687311873
2024-06-28,540.7359008789062,543.657081567454,-2.0339875645069997e-06,-1,0.7849502197977927,21.482146907109666
2024-07-01,541.8487548828125,542.1368764681023,-5.5758846735739995e-06,-1,1.4009755891960367,22.883122496305702
2024-07-02,545.4953002929688,540.2192968299051,1.010229023779e-05,1,1.6294580529073528,24.512580549213055
2024-07-03,547.9295654296875,545.1772796111068,-1.7334837163324e-05,-1,-0.31802068186198085,24.194559867351074
2024-07-05,551.0891723632812,548.2375511458326,-2.734990976281e-05,-1,0.30798571614514003,24.502545583496214
2024-07-08,551.72509765625,551.884046644386,7.198990260322e-06,1,-0.7948742811047396,23.707671302391475
2024-07-09,552.2616577148438,552.6988432685978,9.537631867214e-06,1,-0.9737456123477841,22.73392569004369
2024-07-10,557.7264404296875,553.5036489009739,-3.4674275349602e-05,-1,1.2419911861301216,23.975916876173812
2024-07-11,552.9174194335938,557.8456875577136,-9.784050788551e-06,-1,0.11924712802613158,24.095164004199944
2024-07-12,556.4049072265625,554.0600306153884,-1.2985955350821e-05,-1,1.1426111817946776,25.23777518599462
2024-07-15,557.93505859375,558.431857544371,-1.535092387229e-06,-1,2.0269503178085415,27.264725503803163
2024-07-16,561.2437133789062,559.2664631971054,-2.772406666448e-06,-1,1.331404603355395,28.596130107158558
2024-07-17,553.37451171875,555.2225895749159,-4.2816898970215e-05,-1,-6.021123803990349,22.57500630316821
2024-07-18,549.121826171875,554.934410669843,-1.0246045593491e-05,-1,1.5598989510930323,24.13490525426124
2024-07-19,545.4754028320312,548.8834369853205,-2.0756171385992e-05,-1,-0.2383891865545138,23.896516067706727
2024-07-22,551.0991821289062,549.4597210903114,1.114272814891e-05,1,-3.9843182582801546,19.912197809426573
2024-07-23,550.2346801757812,550.9897636467225,4.4392918809510005e-06,1,0.10941848218374162,20.021616291610314
2024-07-24,537.7650146484375,545.3461720780751,-1.9814387907407002e-05,-1,-4.888508097706108,15.133108193904206
2024-07-25,534.9630737304688,537.8842542829834,1.8400699443533e-05,1,-0.11923963454592013,15.013868559358286
2024-07-26,540.9545288085938,538.8083836881038,4.6032570272481997e-05,1,-3.845309957635095,11.168558601723191
2024-07-29,541.2724609375,542.5244041316022,1.5207250627434e-05,1,-1.5698753230084321,9.59868327871476
2024-07-30,538.5301513671875,542.7628888282719,-1.2826357271682002e-05,-1,1.4904278907719117,11.08911116948667
2024-07-31,547.2837524414062,545.4654509864566,2.5735197955948e-05,1,-6.935299619269131,4.15381155021754
2024-08-01,539.5336303710938,549.0324243092629,-2.61172441203e-06,-1,1.7486718678566149,5.902483418074155
2024-08-02,529.4884033203125,532.3201333885539,3.762963461876e-06,1,7.213496982539823,13.115980400613978
2024-08-05,514.0677490234375,508.3645060852609,4.3682396658799996e-05,1,21.123897235051572,34.23987763566555
2024-08-06,518.8072509765625,515.8959552954199,-3.1217526028339996e-05,-1,1.828206271982367,36.06808390764792
2024-08-07,515.3394775390625,525.0866708415548,-4.4063813631369e-05,-1,6.279419864992292,42.34750377264021
2024-08-08,527.2528076171875,520.5559060967021,1.2708717025855e-05,1,-5.216428557639574,37.131075215000635
2024-08-09,529.5777587890625,526.4181246025644,5.6329141878544e-05,1,0.8346830146231241,37.96575822962376
2024-08-12,529.8560180664062,530.7900026001965,-2.3856075333377e-05,-1,1.2122438111340443,39.178002040757804
2024-08-13,538.5698852539062,533.0952107357589,-5.0232297339997e-05,-1,3.239192669352633,42.41719471011044
2024-08-14,540.2689208984375,539.3746584267726,2.4549891842319e-05,1,-0.8047731728663621,41.612421537244074
2024-08-15,549.5292358398438,545.982083814168,-3.360618170903e-05,-1,5.71316291573055,47.325584452974624
2024-08-16,550.7612915039062,547.8897787993742,7.6966559892257e-05,1,1.6394570404695514,48.965041493444176
2024-08-19,556.02734375,551.178580819559,4.0203221863775e-05,1,-0.41728931565273797,48.54775217779144
2024-08-20,555.1232299804688,555.5703612216352,1.6709755270089e-05,1,0.456982528364847,49.004734706156285
2024-08-21,557.0308837890625,556.1863497803622,1.0638226839288e-05,1,-1.0631197998934567,47.94161490626283
2024-08-22,552.6590576171875,558.9584957024143,8.6205930298988e-05,1,-1.927611913351825,46.014002992911
2024-08-23,558.5311889648438,555.9478586983942,1.6048663204783e-05,1,-3.288801081206657,42.725201911704346
2024-08-26,557.1997680664062,559.5744817024615,-3.0672460944856e-05,-1,1.0432927376177759,43.76849464932212
2024-08-27,557.9649047851562,555.9081495950009,-3.7401349043082e-05,-1,-1.2916184714053998,42.47687617791672
2024-08-28,554.7257690429688,557.6171732764703,-6.6213419694251e-05,-1,-0.34773150868591074,42.12914466923081
2024-08-29,554.775390625,556.7228644372319,-2.8048336379188e-05,-1,1.9970953942631695,44.12624006349398
2024-08-30,560.0712890625,557.1799456914886,3.1057914879636e-05,1,-2.4045550664885695,41.72168499700541
