entry_date,exit_date,option_ticker,entry_price,exit_price,pnl_w_slippage
2021-01-19,2021-01-20,O:SPY210120C00378000,1.69,3.41,1.5480000000000003
2021-01-20,2021-01-21,O:SPY210122C00383000,2.32,2.42,0.09000000000000008
2021-01-21,2021-01-22,O:SPY210122C00384000,1.02,0.29,-0.657
2021-01-22,2021-01-25,O:SPY210125P00382000,0.92,0.5,-0.37800000000000006
2021-01-25,2021-01-26,O:SPY210127P00384000,1.64,1.14,-0.45
2021-01-26,2021-01-27,O:SPY210127C00383000,2.41,0.61,-1.6200000000000003
2021-01-27,2021-01-28,O:SPY210129P00374000,6.09,2.28,-3.4290000000000003
2021-01-28,2021-01-29,O:SPY210129P00377000,1.87,2.53,0.5939999999999998
2021-01-29,2021-02-01,O:SPY210201P00370000,3.37,0.75,-2.358
2021-02-01,2021-02-02,O:SPY210203C00376000,2.65,4.71,1.854
2021-02-02,2021-02-03,O:SPY210203P00381000,1.01,0.63,-0.342
2021-02-03,2021-02-04,O:SPY210205C00381000,2.98,2.98,0.0
2021-02-04,2021-02-05,O:SPY210205P00386000,0.95,0.5,-0.40499999999999997
2021-02-05,2021-02-08,O:SPY210208P00387000,0.76,0.25,-0.459
2021-02-08,2021-02-09,O:SPY210210P00390000,1.27,1.73,0.414
2021-02-09,2021-02-10,O:SPY210210C00390000,1.47,2.29,0.7380000000000001
2021-02-10,2021-02-11,O:SPY210212P00390000,1.65,1.11,-0.4859999999999998
2021-02-11,2021-02-12,O:SPY210212P00390000,0.99,1.06,0.06300000000000006
2021-02-12,2021-02-16,O:SPY210216P00392000,0.85,0.33,-0.468
2021-02-16,2021-02-17,O:SPY210217C00392000,1.38,0.48,-0.8099999999999999
2021-02-17,2021-02-18,O:SPY210219P00392000,1.56,3.2,1.4760000000000002
2021-02-18,2021-02-19,O:SPY210219C00390000,1.76,2.52,0.684
2021-02-19,2021-02-22,O:SPY210222P00390000,1.57,3.08,1.359
2021-02-22,2021-02-23,O:SPY210224C00387000,2.19,1.12,-0.9629999999999999
2021-02-23,2021-02-24,O:SPY210224C00387000,1.69,1.09,-0.5399999999999999
2021-02-24,2021-02-25,O:SPY210226P00391000,1.32,2.16,0.7560000000000001
2021-02-25,2021-02-26,O:SPY210226P00382000,2.29,1.12,-1.053
2021-02-26,2021-03-01,O:SPY210301C00380000,3.0,5.9,2.6100000000000003
2021-03-01,2021-03-02,O:SPY210303C00389000,2.64,2.46,-0.16200000000000014
2021-03-02,2021-03-03,O:SPY210303P00386000,1.44,1.71,0.24300000000000002
2021-03-03,2021-03-04,O:SPY210305C00381000,3.56,3.2,-0.3239999999999999
2021-03-04,2021-03-05,O:SPY210305P00376000,2.31,0.79,-1.368
2021-03-05,2021-03-08,O:SPY210308P00383000,2.27,1.18,-0.9810000000000001
2021-03-08,2021-03-09,O:SPY210310C00381000,4.02,5.82,1.6200000000000008
2021-03-09,2021-03-10,O:SPY210310C00387000,1.81,3.19,1.242
2021-03-10,2021-03-11,O:SPY210312P00389000,1.6,0.84,-0.6840000000000002
2021-03-11,2021-03-12,O:SPY210312P00393000,1.09,1.64,0.49499999999999983
2021-03-12,2021-03-15,O:SPY210315C00394000,1.44,1.23,-0.18899999999999997
2021-03-15,2021-03-16,O:SPY210317C00396000,2.07,2.3,0.207
2021-03-16,2021-03-17,O:SPY210317P00395000,0.93,1.76,0.747
2021-03-17,2021-03-18,O:SPY210319P00397000,2.3,4.22,1.728
2021-03-18,2021-03-19,O:SPY210319C00391000,1.67,0.97,-0.63
2021-03-19,2021-03-22,O:SPY210322P00389000,1.48,0.64,-0.756
2021-03-22,2021-03-23,O:SPY210324C00392000,2.11,1.45,-0.594
2021-03-23,2021-03-24,O:SPY210324C00389000,2.01,2.49,0.4320000000000004
2021-03-24,2021-03-25,O:SPY210326C00387000,2.53,1.45,-0.9719999999999999
2021-03-25,2021-03-26,O:SPY210326C00389000,2.01,2.29,0.2520000000000002
2021-03-26,2021-03-29,O:SPY210329C00395000,2.09,0.9,-1.071
2021-03-29,2021-03-30,O:SPY210331C00395000,2.61,1.65,-0.864
2021-03-30,2021-03-31,O:SPY210331C00394000,1.72,2.01,0.26099999999999984
2021-03-31,2021-04-01,O:SPY210401C00396000,1.24,2.56,1.1880000000000002
2021-04-01,2021-04-05,O:SPY210405C00400000,1.94,3.41,1.3230000000000002
2021-04-05,2021-04-06,O:SPY210407P00406000,1.43,1.55,0.1080000000000001
2021-04-06,2021-04-07,O:SPY210407C00406000,1.09,0.81,-0.25200000000000006
2021-04-07,2021-04-08,O:SPY210409P00406000,1.08,0.81,-0.24300000000000002
2021-04-08,2021-04-09,O:SPY210409P00408000,0.56,0.67,0.09899999999999999
2021-04-09,2021-04-12,O:SPY210412P00411000,1.27,0.93,-0.306
2021-04-12,2021-04-13,O:SPY210414C00411000,1.87,1.66,-0.18900000000000017
2021-04-13,2021-04-14,O:SPY210414P00412000,0.62,0.56,-0.05399999999999995
2021-04-14,2021-04-15,O:SPY210416P00411000,1.25,0.54,-0.639
2021-04-15,2021-04-16,O:SPY210416P00415000,0.82,0.3,-0.468
2021-04-16,2021-04-19,O:SPY210419P00417000,1.15,1.17,0.018000000000000016
2021-04-19,2021-04-20,O:SPY210421P00415000,1.43,2.21,0.7020000000000001
2021-04-20,2021-04-21,O:SPY210421C00412000,1.11,0.8,-0.2790000000000001
2021-04-21,2021-04-22,O:SPY210423P00416000,1.82,1.4,-0.37800000000000017
2021-04-22,2021-04-23,O:SPY210423C00412000,1.64,1.56,-0.07199999999999987
2021-04-23,2021-04-26,O:SPY210426P00416000,1.01,0.3,-0.639
2021-04-26,2021-04-27,O:SPY210428P00417000,1.38,1.07,-0.27899999999999986
2021-04-27,2021-04-28,O:SPY210428P00417000,0.92,0.67,-0.225
2021-04-28,2021-04-29,O:SPY210430P00417000,1.3,0.41,-0.8010000000000002
2021-04-29,2021-04-30,O:SPY210430P00420000,1.25,2.57,1.188
2021-04-30,2021-05-03,O:SPY210503C00417000,1.84,2.76,0.8279999999999997
2021-05-03,2021-05-04,O:SPY210505P00418000,1.57,2.64,0.9630000000000001
2021-05-04,2021-05-05,O:SPY210505P00415000,1.25,0.29,-0.864
2021-05-05,2021-05-06,O:SPY210507C00415000,2.3,2.16,-0.12599999999999972
2021-05-06,2021-05-07,O:SPY210507P00419000,1.15,0.59,-0.504
2021-05-07,2021-05-10,O:SPY210510P00422000,0.87,0.6,-0.24300000000000002
2021-05-10,2021-05-11,O:SPY210512C00417000,2.58,0.73,-1.665
2021-05-11,2021-05-12,O:SPY210512P00414000,1.98,3.24,1.1340000000000003
2021-05-12,2021-05-13,O:SPY210514P00405000,3.23,1.88,-1.215
2021-05-13,2021-05-14,O:SPY210514P00410000,1.74,0.37,-1.233
2021-05-14,2021-05-17,O:SPY210517P00416000,1.04,1.5,0.414
2021-05-17,2021-05-18,O:SPY210519P00415000,1.8,1.63,-0.15300000000000014
2021-05-18,2021-05-19,O:SPY210519C00411000,2.2,0.22,-1.7820000000000003
2021-05-19,2021-05-20,O:SPY210521P00410000,2.1,1.16,-0.8460000000000002
2021-05-20,2021-05-21,O:SPY210521P00415000,1.32,0.48,-0.7560000000000001
2021-05-21,2021-05-24,O:SPY210524C00414000,2.34,3.56,1.0980000000000003
2021-05-24,2021-05-25,O:SPY210526C00419000,1.75,2.21,0.414
2021-05-25,2021-05-26,O:SPY210526P00418000,1.09,0.75,-0.3060000000000001
2021-05-26,2021-05-27,O:SPY210528C00419000,1.5,2.05,0.49499999999999983
2021-05-27,2021-05-28,O:SPY210528P00419000,0.44,0.27,-0.153
2021-05-28,2021-06-01,O:SPY210601P00420000,1.07,0.16,-0.8190000000000001
2021-06-01,2021-06-02,O:SPY210602C00419000,1.47,1.62,0.13500000000000012
2021-06-02,2021-06-03,O:SPY210604P00420000,1.31,2.84,1.3769999999999998
2021-06-03,2021-06-04,O:SPY210604P00418000,1.03,0.27,-0.684
2021-06-04,2021-06-07,O:SPY210607P00422000,0.81,0.51,-0.2700000000000001
2021-06-07,2021-06-08,O:SPY210609P00422000,1.05,0.73,-0.2880000000000001
2021-06-08,2021-06-09,O:SPY210609C00422000,1.08,1.36,0.25200000000000006
2021-06-09,2021-06-10,O:SPY210611C00421000,2.34,2.55,0.18899999999999997
2021-06-10,2021-06-11,O:SPY210611P00423000,0.67,0.2,-0.42300000000000004
2021-06-11,2021-06-14,O:SPY210614P00424000,0.69,0.48,-0.18899999999999997
2021-06-14,2021-06-15,O:SPY210616P00425000,1.33,1.21,-0.1080000000000001
2021-06-15,2021-06-16,O:SPY210616C00424000,1.62,1.5,-0.1080000000000001
2021-06-16,2021-06-17,O:SPY210618P00422000,2.79,2.77,-0.018000000000000016
2021-06-17,2021-06-18,O:SPY210618P00421000,1.46,3.37,1.719
2021-06-18,2021-06-21,O:SPY210621C00414000,2.35,3.12,0.6930000000000001
2021-06-21,2021-06-22,O:SPY210623P00420000,1.06,1.1,0.03600000000000003
2021-06-22,2021-06-23,O:SPY210623C00423000,0.91,0.87,-0.03600000000000003
2021-06-23,2021-06-24,O:SPY210625C00422000,1.74,3.2,1.3140000000000003
2021-06-24,2021-06-25,O:SPY210625C00425000,1.01,1.19,0.16199999999999995
2021-06-25,2021-06-28,O:SPY210628P00426000,0.61,0.25,-0.324
2021-06-28,2021-06-29,O:SPY210630P00427000,0.93,0.65,-0.25200000000000006
2021-06-29,2021-06-30,O:SPY210630C00427000,1.39,0.83,-0.504
2021-06-30,2021-07-01,O:SPY210702C00428000,1.57,1.9,0.2969999999999999
2021-07-01,2021-07-02,O:SPY210702C00430000,1.06,1.87,0.7290000000000001
2021-07-02,2021-07-06,O:SPY210706P00433000,0.64,0.35,-0.26100000000000007
2021-07-06,2021-07-07,O:SPY210707C00432000,1.22,1.48,0.234
2021-07-07,2021-07-08,O:SPY210709P00434000,1.08,5.3,3.798
