entry_date,exit_date,option_ticker,entry_price,exit_price,pnl_w_slippage
2021-03-03,2021-03-04,O:SPY210305C00381000,3.56,3.2,-0.3239999999999999
2021-03-04,2021-03-05,O:SPY210305P00376000,2.31,0.79,-1.368
2021-03-05,2021-03-08,O:SPY210308P00383000,2.27,1.18,-0.9810000000000001
2021-03-08,2021-03-09,O:SPY210310P00381000,2.19,1.0,-1.071
2021-03-09,2021-03-10,O:SPY210310P00387000,1.91,0.56,-1.2149999999999999
2021-03-10,2021-03-11,O:SPY210312C00389000,2.86,4.05,1.071
2021-03-11,2021-03-12,O:SPY210312C00393000,1.61,0.9,-0.6390000000000001
2021-03-12,2021-03-15,O:SPY210315C00394000,1.44,1.23,-0.18899999999999997
2021-03-15,2021-03-16,O:SPY210317C00396000,2.07,2.3,0.207
2021-03-16,2021-03-17,O:SPY210317C00395000,2.43,1.34,-0.9810000000000001
2021-03-17,2021-03-18,O:SPY210319P00397000,2.3,4.22,1.728
2021-03-18,2021-03-19,O:SPY210319C00391000,1.67,0.97,-0.63
2021-03-19,2021-03-22,O:SPY210322P00389000,1.48,0.64,-0.756
2021-03-22,2021-03-23,O:SPY210324C00392000,2.11,1.45,-0.594
2021-03-23,2021-03-24,O:SPY210324C00389000,2.01,2.49,0.4320000000000004
2021-03-24,2021-03-25,O:SPY210326P00387000,1.7,2.46,0.684
2021-03-25,2021-03-26,O:SPY210326P00389000,0.91,0.46,-0.405
2021-03-26,2021-03-29,O:SPY210329C00395000,2.09,0.9,-1.071
2021-03-29,2021-03-30,O:SPY210331C00395000,2.61,1.65,-0.864
2021-03-30,2021-03-31,O:SPY210331C00394000,1.72,2.01,0.26099999999999984
2021-03-31,2021-04-01,O:SPY210401P00396000,1.25,0.23,-0.918
2021-04-01,2021-04-05,O:SPY210405C00400000,1.94,3.41,1.3230000000000002
2021-04-05,2021-04-06,O:SPY210407C00406000,1.8,1.33,-0.423
2021-04-06,2021-04-07,O:SPY210407C00406000,1.09,0.81,-0.25200000000000006
2021-04-07,2021-04-08,O:SPY210409P00406000,1.08,0.81,-0.24300000000000002
2021-04-08,2021-04-09,O:SPY210409P00408000,0.56,0.67,0.09899999999999999
2021-04-09,2021-04-12,O:SPY210412P00411000,1.27,0.93,-0.306
2021-04-12,2021-04-13,O:SPY210414C00411000,1.87,1.66,-0.18900000000000017
2021-04-13,2021-04-14,O:SPY210414P00412000,0.62,0.56,-0.05399999999999995
2021-04-14,2021-04-15,O:SPY210416P00411000,1.25,0.54,-0.639
2021-04-15,2021-04-16,O:SPY210416C00415000,1.44,2.47,0.9270000000000003
2021-04-16,2021-04-19,O:SPY210419P00417000,1.15,1.17,0.018000000000000016
2021-04-19,2021-04-20,O:SPY210421P00415000,1.43,2.21,0.7020000000000001
2021-04-20,2021-04-21,O:SPY210421P00412000,1.4,1.49,0.08100000000000007
2021-04-21,2021-04-22,O:SPY210423P00416000,1.82,1.4,-0.37800000000000017
2021-04-22,2021-04-23,O:SPY210423P00412000,1.1,0.72,-0.34200000000000014
2021-04-23,2021-04-26,O:SPY210426C00416000,1.33,1.92,0.5309999999999999
2021-04-26,2021-04-27,O:SPY210428C00417000,1.8,2.01,0.18899999999999978
2021-04-27,2021-04-28,O:SPY210428C00417000,1.4,1.47,0.06300000000000006
2021-04-28,2021-04-29,O:SPY210430C00417000,1.89,3.69,1.62
2021-04-29,2021-04-30,O:SPY210430P00420000,1.25,2.57,1.188
2021-04-30,2021-05-03,O:SPY210503P00417000,1.15,0.29,-0.7739999999999999
2021-05-03,2021-05-04,O:SPY210505P00418000,1.57,2.64,0.9630000000000001
2021-05-04,2021-05-05,O:SPY210505P00415000,1.25,0.29,-0.864
2021-05-05,2021-05-06,O:SPY210507P00415000,1.52,1.19,-0.2970000000000001
2021-05-06,2021-05-07,O:SPY210507C00419000,1.2,1.5,0.2700000000000001
2021-05-07,2021-05-10,O:SPY210510P00422000,0.87,0.6,-0.24300000000000002
2021-05-10,2021-05-11,O:SPY210512C00417000,2.58,0.73,-1.665
2021-05-11,2021-05-12,O:SPY210512P00414000,1.98,3.24,1.1340000000000003
2021-05-12,2021-05-13,O:SPY210514P00405000,3.23,1.88,-1.215
2021-05-13,2021-05-14,O:SPY210514C00410000,1.84,3.58,1.566
2021-05-14,2021-05-17,O:SPY210517C00416000,2.03,0.88,-1.035
2021-05-17,2021-05-18,O:SPY210519C00415000,2.5,2.41,-0.08099999999999988
2021-05-18,2021-05-19,O:SPY210519C00411000,2.2,0.22,-1.7820000000000003
2021-05-19,2021-05-20,O:SPY210521C00410000,2.62,2.97,0.3150000000000001
2021-05-20,2021-05-21,O:SPY210521C00415000,1.38,2.27,0.8010000000000002
2021-05-21,2021-05-24,O:SPY210524C00414000,2.34,3.56,1.0980000000000003
2021-05-24,2021-05-25,O:SPY210526P00419000,1.33,0.93,-0.36000000000000004
2021-05-25,2021-05-26,O:SPY210526C00418000,1.31,1.59,0.25200000000000006
