entry_date,exit_date,option_ticker,entry_price,exit_price,pnl_w_slippage
2022-01-27,2022-01-28,O:SPY220128P00431000,3.04,2.14,-0.8099999999999999
2022-03-22,2022-03-23,O:SPY220323C00449000,2.07,0.9,-1.053
2022-04-14,2022-04-18,O:SPY220418C00437000,2.55,1.25,-1.17
2022-04-28,2022-04-29,O:SPY220429C00427000,2.09,1.14,-0.855
2022-05-06,2022-05-09,O:SPY220509C00411000,2.98,0.93,-1.845
2022-05-20,2022-05-23,O:SPY220523P00389000,2.8,1.06,-1.5659999999999998
2022-06-08,2022-06-09,O:SPY220610C00411000,3.52,2.63,-0.8010000000000002
2022-06-15,2022-06-16,O:SPY220617P00379000,5.74,10.48,4.266
2022-07-14,2022-07-15,O:SPY220715P00377000,1.72,0.3,-1.278
2022-07-18,2022-07-19,O:SPY220720P00381000,2.07,0.78,-1.1609999999999998
2022-12-02,2022-12-05,O:SPY221205C00406000,1.66,0.51,-1.035
2022-12-07,2022-12-08,O:SPY221208C00393000,1.78,2.4,0.5579999999999999
2022-12-15,2022-12-16,O:SPY221216C00389000,1.64,0.65,-0.8909999999999999
2023-01-04,2023-01-05,O:SPY230105P00383000,1.36,2.31,0.855
2023-01-18,2023-01-19,O:SPY230119P00391000,1.31,2.98,1.503
2023-03-10,2023-03-13,O:SPY230313P00385000,2.11,4.4,2.0610000000000004
2023-03-14,2023-03-15,O:SPY230315P00391000,2.09,5.63,3.186
2023-03-20,2023-03-21,O:SPY230321P00393000,1.49,0.25,-1.116
2024-08-02,2024-08-05,O:SPY240805P00532000,4.52,20.15,14.067
2024-08-05,2024-08-06,O:SPY240806C00517000,5.88,8.72,2.556000000000001
2024-11-06,2024-11-07,O:SPY241107P00591000,2.07,0.98,-0.9809999999999999
2024-12-17,2024-12-18,O:SPY241218P00604000,1.91,1.83,-0.07199999999999987
2025-02-13,2025-02-14,O:SPY250214C00609000,1.9,1.86,-0.03599999999999983
