entry_date,exit_date,option_ticker,entry_price,exit_price,pnl_w_slippage
2021-02-02,2021-02-03,O:SPY210203P00381000,1.01,0.63,-0.342
2021-02-09,2021-02-10,O:SPY210210C00390000,1.47,2.29,0.7380000000000001
2021-02-18,2021-02-19,O:SPY210219C00390000,1.76,2.52,0.684
2021-02-19,2021-02-22,O:SPY210222P00390000,1.57,3.08,1.359
2021-03-04,2021-03-05,O:SPY210305C00376000,3.39,5.24,1.665
2021-03-10,2021-03-11,O:SPY210312P00389000,1.6,0.84,-0.6840000000000002
2021-03-18,2021-03-19,O:SPY210319C00391000,1.67,0.97,-0.63
2021-03-22,2021-03-23,O:SPY210324C00392000,2.11,1.45,-0.594
2021-03-23,2021-03-24,O:SPY210324C00389000,2.01,2.49,0.4320000000000004
2021-03-25,2021-03-26,O:SPY210326P00389000,0.91,0.46,-0.405
2021-05-10,2021-05-11,O:SPY210512C00417000,2.58,0.73,-1.665
2021-05-18,2021-05-19,O:SPY210519C00411000,2.2,0.22,-1.7820000000000003
2021-05-28,2021-06-01,O:SPY210601P00420000,1.07,0.16,-0.8190000000000001
2021-06-03,2021-06-04,O:SPY210604P00418000,1.03,0.27,-0.684
2021-06-07,2021-06-08,O:SPY210609C00422000,1.36,1.96,0.5399999999999999
2021-06-10,2021-06-11,O:SPY210611P00423000,0.67,0.2,-0.42300000000000004
2021-08-02,2021-08-03,O:SPY210804C00437000,2.31,2.54,0.207
2021-08-17,2021-08-18,O:SPY210818C00444000,0.89,0.55,-0.306
2021-10-01,2021-10-04,O:SPY211004C00434000,2.09,0.92,-1.053
2021-10-12,2021-10-13,O:SPY211013C00433000,1.72,2.36,0.576
2021-11-05,2021-11-08,O:SPY211108P00468000,1.16,0.28,-0.7919999999999999
2021-11-29,2021-11-30,O:SPY211201C00464000,2.94,1.55,-1.251
2021-11-30,2021-12-01,O:SPY211201C00455000,3.98,6.64,2.3939999999999997
2021-12-01,2021-12-02,O:SPY211203P00450000,3.95,3.62,-0.2970000000000001
2021-12-06,2021-12-07,O:SPY211208P00458000,2.8,0.58,-1.9979999999999998
2021-12-20,2021-12-21,O:SPY211222C00454000,4.4,5.68,1.1519999999999995
2022-01-18,2022-01-19,O:SPY220119P00456000,2.12,1.04,-0.9720000000000001
2022-01-21,2022-01-24,O:SPY220124P00437000,3.23,5.0,1.593
2022-01-26,2022-01-27,O:SPY220128C00433000,5.1,7.78,2.412000000000001
2022-01-27,2022-01-28,O:SPY220128P00431000,3.04,2.14,-0.8099999999999999
2022-01-28,2022-01-31,O:SPY220202P00441000,5.44,4.62,-0.7380000000000003
2022-02-02,2022-02-03,O:SPY220204C00457000,1.67,0.88,-0.711
2022-02-04,2022-02-07,O:SPY220207C00448000,2.62,2.69,0.06299999999999986
2022-02-08,2022-02-09,O:SPY220209P00450000,1.38,0.29,-0.9809999999999999
2022-02-18,2022-02-22,O:SPY220222P00434000,3.4,3.58,0.16200000000000014
2022-02-23,2022-02-24,O:SPY220225P00421000,3.57,10.93,6.624
2022-02-28,2022-03-01,O:SPY220302P00436000,3.7,4.46,0.6839999999999998
2022-03-02,2022-03-03,O:SPY220304P00437000,3.65,2.15,-1.35
2022-03-03,2022-03-04,O:SPY220304P00435000,2.15,3.2,0.9450000000000003
2022-03-04,2022-03-07,O:SPY220307C00432000,3.31,2.16,-1.035
2022-03-07,2022-03-08,O:SPY220309C00419000,4.81,4.7,-0.09899999999999949
2022-03-08,2022-03-09,O:SPY220309P00416000,3.42,0.38,-2.736
2022-03-09,2022-03-10,O:SPY220311P00427000,4.27,6.16,1.7010000000000005
2022-03-10,2022-03-11,O:SPY220311C00425000,2.95,4.2,1.125
2022-03-17,2022-03-18,O:SPY220318P00441000,3.58,3.81,0.207
2022-03-22,2022-03-23,O:SPY220323C00449000,2.07,0.9,-1.053
2022-03-23,2022-03-24,O:SPY220325P00443000,2.53,1.54,-0.8909999999999998
2022-03-24,2022-03-25,O:SPY220325P00450000,1.56,1.07,-0.441
2022-03-28,2022-03-29,O:SPY220330C00455000,2.75,5.52,2.493
2022-04-07,2022-04-08,O:SPY220408P00448000,1.43,1.88,0.40499999999999997
2022-04-08,2022-04-11,O:SPY220411C00447000,2.15,0.41,-1.566
2022-04-11,2022-04-12,O:SPY220413C00439000,3.78,5.29,1.3590000000000002
2022-04-14,2022-04-18,O:SPY220418C00437000,2.55,1.25,-1.17
2022-04-19,2022-04-20,O:SPY220420C00445000,0.74,3.04,2.07
2022-04-21,2022-04-22,O:SPY220422P00438000,2.08,2.3,0.1979999999999998
2022-04-26,2022-04-27,O:SPY220427C00416000,2.67,3.28,0.5489999999999999
2022-04-27,2022-04-28,O:SPY220429C00417000,5.15,7.78,2.367
2022-05-05,2022-05-06,O:SPY220506P00413000,2.98,3.91,0.8370000000000002
2022-05-06,2022-05-09,O:SPY220509P00411000,3.94,6.67,2.457
2022-05-09,2022-05-10,O:SPY220511P00398000,4.25,2.09,-1.9440000000000002
2022-05-12,2022-05-13,O:SPY220513P00392000,3.44,1.11,-2.097
2022-05-17,2022-05-18,O:SPY220518P00408000,2.23,4.0,1.593
2022-05-27,2022-05-31,O:SPY220531P00415000,2.4,2.97,0.5130000000000002
2022-06-02,2022-06-03,O:SPY220603P00417000,2.42,5.1,2.412
2022-06-08,2022-06-09,O:SPY220610C00411000,3.52,2.63,-0.8010000000000002
2022-06-09,2022-06-10,O:SPY220610C00401000,3.51,0.69,-2.538
2022-06-14,2022-06-15,O:SPY220615C00373000,4.0,6.32,2.0880000000000005
2022-06-17,2022-06-21,O:SPY220621P00365000,2.67,0.28,-2.151
2022-06-24,2022-06-27,O:SPY220627C00390000,2.05,2.64,0.5310000000000002
2022-06-28,2022-06-29,O:SPY220629C00380000,2.8,2.78,-0.018000000000000016
2022-06-30,2022-07-01,O:SPY220701P00377000,2.79,2.15,-0.5760000000000002
2022-07-01,2022-07-05,O:SPY220705P00381000,2.53,4.95,2.1780000000000004
2022-07-05,2022-07-06,O:SPY220706C00381000,2.51,2.64,0.11700000000000031
2022-07-06,2022-07-07,O:SPY220708C00383000,3.55,3.88,0.2970000000000001
2022-07-08,2022-07-11,O:SPY220711C00388000,2.5,0.81,-1.521
2022-07-13,2022-07-14,O:SPY220715P00378000,3.15,5.79,2.3760000000000003
2022-07-14,2022-07-15,O:SPY220715C00377000,2.99,5.85,2.5739999999999994
2022-07-15,2022-07-18,O:SPY220718P00385000,1.92,0.5,-1.278
2022-07-18,2022-07-19,O:SPY220720C00381000,3.46,5.78,2.0880000000000005
2022-07-20,2022-07-21,O:SPY220722P00394000,2.57,2.57,0.0
2022-07-22,2022-07-25,O:SPY220725C00395000,1.67,1.86,0.17100000000000015
2022-07-29,2022-08-01,O:SPY220801C00411000,2.25,0.82,-1.2870000000000001
2022-08-02,2022-08-03,O:SPY220803C00408000,1.98,3.0,0.918
2022-08-04,2022-08-05,O:SPY220805C00414000,1.84,0.27,-1.413
2022-08-05,2022-08-08,O:SPY220808C00413000,1.73,2.44,0.639
2022-08-09,2022-08-10,O:SPY220810C00411000,2.88,7.78,4.41
2022-08-10,2022-08-11,O:SPY220812P00419000,1.93,0.87,-0.9540000000000001
2022-08-22,2022-08-23,O:SPY220824P00413000,2.32,2.48,0.14400000000000013
2022-08-26,2022-08-29,O:SPY220829P00405000,2.31,3.37,0.9540000000000001
2022-08-31,2022-09-01,O:SPY220902P00395000,2.93,4.17,1.1159999999999999
2022-09-06,2022-09-07,O:SPY220907C00390000,2.35,2.0,-0.3150000000000001
2022-09-07,2022-09-08,O:SPY220909C00397000,3.22,2.02,-1.0800000000000003
2022-09-08,2022-09-09,O:SPY220909C00400000,2.31,3.37,0.9540000000000001
2022-09-14,2022-09-15,O:SPY220916C00394000,3.09,2.04,-0.9449999999999998
2022-09-19,2022-09-20,O:SPY220921P00388000,3.76,5.49,1.5570000000000004
2022-09-20,2022-09-21,O:SPY220921C00384000,3.99,4.66,0.603
2022-09-21,2022-09-22,O:SPY220923C00377000,4.29,3.27,-0.918
2022-09-30,2022-10-03,O:SPY221003P00357000,2.11,0.75,-1.224
2022-10-03,2022-10-04,O:SPY221005P00366000,2.85,0.91,-1.746
