Date,Close,Open,Prediction,trade_signal,PnL_no_fees,cum_PnL_no_fees
2024-03-15,504.9371032714844,505.3134612139554,0.0,0,,
2024-03-18,507.93798828125,509.06706203174264,3.4491509559828996e-05,1,-4.129958760258262,-4.129958760258262
2024-03-19,510.76068115234375,507.23484938554435,3.0857389357865996e-05,1,0.7031388957056492,-3.4268198645526127
2024-03-20,515.48486328125,510.8201044796903,1.5689703500107e-05,1,-0.05942332734656475,-3.4862431918991774
2024-03-21,517.1883544921875,518.3669362427153,-4.5568696434311995e-05,-1,2.882072961465269,-0.6041702304339083
2024-03-22,516.2078247070312,517.0991508875658,6.140513140992999e-06,1,0.08920360462172994,-0.5149666258121783
2024-03-25,514.7816772460938,514.8113578960968,7.213294805679811e-07,1,1.3964668109344984,0.8815001851223201
2024-03-26,513.8308715820312,516.2276294197574,-2.40386662373526e-07,-1,1.4459521736636134,2.3274523587859335
2024-03-27,518.1490478515625,516.7030983621477,-1.2349282995765e-05,-1,2.8722267801164207,5.199679138902354
2024-03-28,518.050048828125,518.1887197410889,1.0848548172303001e-05,1,-0.03967188952640299,5.160007249375951
2024-04-01,517.148681640625,518.8026977832243,3.9824688552303e-05,1,-0.7526489550992892,4.407358294276662
2024-04-02,513.8606567382812,513.2663787407818,-1.1350981249565e-05,-1,-3.882302899843239,0.5250553944334229
2024-04-03,514.4251098632812,512.7513266543715,-3.4277796998978e-05,-1,-1.1093300839097537,-0.5842746894763309
2024-04-04,508.14599609375,518.4957179374168,-2.4768120424944997e-05,-1,4.070608074135521,3.48633338465919
2024-04-05,513.4545288085938,509.5226586128974,-1.4248290567800001e-05,-1,1.3766625191473736,4.8629959038065635
2024-04-08,513.74169921875,514.1676256081136,-1.5609063976780002e-05,-1,0.7130967995198034,5.576092703326367
2024-04-09,514.3359985351562,515.5046666061,-1.9489591339163e-05,-1,1.762967387350045,7.339060090676412
2024-04-10,509.1858825683594,508.5520102686698,4.0171802184113995e-05,1,5.78398826648646,13.123048357162872
2024-04-11,513.0286865234375,510.73094461172184,5.931185991354e-06,1,-1.5450620433624636,11.577986313800409
